AnzscoCode,Level,Date,NoOfVacancies,State,Title
33,3,01/04/2006,618.04,VIC,Construction Trades Workers
34,3,01/04/2006,375.65,VIC,Electrotechnology and Telecommunications Trades Workers
35,3,01/04/2006,1036.6,VIC,Food Trades Workers
36,3,01/04/2006,233.99,VIC,Skilled Animal and Horticultural Workers
3A,3,01/04/2006,534.73,VIC,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/04/2006,122.42,VIC,"Jewellers, Arts and Other Trades Workers"
4,2,01/04/2006,2988.22,VIC,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/04/2006,127.54,VIC,Health and Welfare Support Workers
42,3,01/04/2006,1090.58,VIC,Carers and Aides
43,3,01/04/2006,1049.18,VIC,Hospitality Workers
44,3,01/04/2006,311.51,VIC,Protective Service Workers
45,3,01/04/2006,406.58,VIC,"Sports, Travel and Personal Service Workers"
5,2,01/04/2006,10104.63,VIC,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/04/2006,2595.21,VIC,Numerical Clerks
56,3,01/04/2006,226.59,VIC,Clerical and Office Support Workers
59,3,01/04/2006,1094.75,VIC,Other Clerical and Administrative Workers
5A,3,01/04/2006,1643,VIC,"Office Managers, Administrators and Secretaries"
5B,3,01/04/2006,4539.97,VIC,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/04/2006,5936.63,VIC,SALES WORKERS
61,3,01/04/2006,1819.02,VIC,Sales Representatives and Agents
62,3,01/04/2006,3371.89,VIC,Sales Assistants and Salespersons
63,3,01/04/2006,768.22,VIC,Sales Support Workers
7,2,01/04/2006,2843.31,VIC,MACHINERY OPERATORS AND DRIVERS
71,3,01/04/2006,584.35,VIC,Machine and Stationary Plant Operators
72,3,01/04/2006,465.31,VIC,Mobile Plant Operators
7A,3,01/04/2006,1794.79,VIC,Drivers and Storepersons
8,2,01/04/2006,6570.15,VIC,LABOURERS
81,3,01/04/2006,1048.2,VIC,Cleaners and Laundry Workers
82,3,01/04/2006,262.11,VIC,Construction and Mining Labourers
83,3,01/04/2006,1273.78,VIC,Factory Process Workers
84,3,01/04/2006,619.52,VIC,"Farm, Forestry and Garden Workers"
85,3,01/04/2006,584.03,VIC,Food Preparation Assistants
89,3,01/04/2006,2810.77,VIC,Other Labourers
0,1,01/04/2006,50439.2,QLD,QLD TOTAL
1,2,01/04/2006,4233.9,QLD,MANAGERS
11,3,01/04/2006,105.94,QLD,"Chief Executives, Managing Directors & Legislators"
12,3,01/04/2006,28.16,QLD,Farmers and Farm Managers
14,3,01/04/2006,937.42,QLD,"Hospitality, Retail and Service Managers"
1A,3,01/04/2006,1439.52,QLD,Corporate Managers
1B,3,01/04/2006,1347.58,QLD,"Construction, Production and Distribution Managers"
1C,3,01/04/2006,387.14,QLD,"Health, Education, ICT and Other Managers"
2,2,01/04/2006,10287.79,QLD,PROFESSIONALS
21,3,01/04/2006,193.38,QLD,Arts and Media Professionals
24,3,01/04/2006,234.46,QLD,Education Professionals
26,3,01/04/2006,1623.35,QLD,ICT Professionals
27,3,01/04/2006,1127.94,QLD,"Legal, Social and Welfare Professionals"
2A,3,01/04/2006,2969.63,QLD,"Business, Finance and Human Resource Professionals"
2B,3,01/04/2006,249.36,QLD,Information Professionals
2C,3,01/04/2006,377.92,QLD,"Sales, Marketing & Public Relations Professionals"
2D,3,01/04/2006,469.66,QLD,"Transport and Design Professionals, and Architects"
2E,3,01/04/2006,1742.19,QLD,Engineers
2F,3,01/04/2006,245.85,QLD,Science Professionals and Veterinarians
2G,3,01/04/2006,335,QLD,Health Diagnostic and Therapy Professionals
2H,3,01/04/2006,670.87,QLD,Medical Practitioners and Nurses
3,2,01/04/2006,7096.74,QLD,TECHNICIANS AND TRADES WORKERS
31,3,01/04/2006,1499.9,QLD,"Engineering, ICT and Science Technicians"
32,3,01/04/2006,1834.09,QLD,Automotive and Engineering Trades Workers
33,3,01/04/2006,902.92,QLD,Construction Trades Workers
34,3,01/04/2006,784.03,QLD,Electrotechnology and Telecommunications Trades Workers
35,3,01/04/2006,1194.99,QLD,Food Trades Workers
36,3,01/04/2006,261.34,QLD,Skilled Animal and Horticultural Workers
3A,3,01/04/2006,480.99,QLD,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/04/2006,137.15,QLD,"Jewellers, Arts and Other Trades Workers"
4,2,01/04/2006,3365.74,QLD,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/04/2006,198.93,QLD,Health and Welfare Support Workers
42,3,01/04/2006,1051.22,QLD,Carers and Aides
43,3,01/04/2006,1439.88,QLD,Hospitality Workers
44,3,01/04/2006,277.12,QLD,Protective Service Workers
45,3,01/04/2006,440.56,QLD,"Sports, Travel and Personal Service Workers"
5,2,01/04/2006,8829.39,QLD,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/04/2006,1887.53,QLD,Numerical Clerks
56,3,01/04/2006,326.35,QLD,Clerical and Office Support Workers
59,3,01/04/2006,950.78,QLD,Other Clerical and Administrative Workers
5A,3,01/04/2006,1428.57,QLD,"Office Managers, Administrators and Secretaries"
5B,3,01/04/2006,4215.99,QLD,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/04/2006,5044.6,QLD,SALES WORKERS
61,3,01/04/2006,1512.28,QLD,Sales Representatives and Agents
62,3,01/04/2006,2978.57,QLD,Sales Assistants and Salespersons
63,3,01/04/2006,567.05,QLD,Sales Support Workers
7,2,01/04/2006,3376.15,QLD,MACHINERY OPERATORS AND DRIVERS
71,3,01/04/2006,635.76,QLD,Machine and Stationary Plant Operators
72,3,01/04/2006,600.06,QLD,Mobile Plant Operators
7A,3,01/04/2006,2150.11,QLD,Drivers and Storepersons
8,2,01/04/2006,8213.66,QLD,LABOURERS
81,3,01/04/2006,1355.84,QLD,Cleaners and Laundry Workers
82,3,01/04/2006,639.44,QLD,Construction and Mining Labourers
83,3,01/04/2006,977.46,QLD,Factory Process Workers
84,3,01/04/2006,722.5,QLD,"Farm, Forestry and Garden Workers"
85,3,01/04/2006,623.26,QLD,Food Preparation Assistants
89,3,01/04/2006,3885.69,QLD,Other Labourers
0,1,01/04/2006,13308.13,SA,SA TOTAL
1,2,01/04/2006,1026.98,SA,MANAGERS
11,3,01/04/2006,37.69,SA,"Chief Executives, Managing Directors & Legislators"
12,3,01/04/2006,11.72,SA,Farmers and Farm Managers
14,3,01/04/2006,259.15,SA,"Hospitality, Retail and Service Managers"
1A,3,01/04/2006,359.16,SA,Corporate Managers
1B,3,01/04/2006,266.6,SA,"Construction, Production and Distribution Managers"
1C,3,01/04/2006,82.42,SA,"Health, Education, ICT and Other Managers"
2,2,01/04/2006,2146.65,SA,PROFESSIONALS
21,3,01/04/2006,71.86,SA,Arts and Media Professionals
24,3,01/04/2006,87.74,SA,Education Professionals
26,3,01/04/2006,297.1,SA,ICT Professionals
27,3,01/04/2006,184.12,SA,"Legal, Social and Welfare Professionals"
2A,3,01/04/2006,563.18,SA,"Business, Finance and Human Resource Professionals"
2B,3,01/04/2006,69.22,SA,Information Professionals
2C,3,01/04/2006,105.9,SA,"Sales, Marketing & Public Relations Professionals"
2D,3,01/04/2006,84.5,SA,"Transport and Design Professionals, and Architects"
2E,3,01/04/2006,260.98,SA,Engineers
2F,3,01/04/2006,76.81,SA,Science Professionals and Veterinarians
2G,3,01/04/2006,133.23,SA,Health Diagnostic and Therapy Professionals
2H,3,01/04/2006,235.72,SA,Medical Practitioners and Nurses
3,2,01/04/2006,1906.76,SA,TECHNICIANS AND TRADES WORKERS
31,3,01/04/2006,266.09,SA,"Engineering, ICT and Science Technicians"
32,3,01/04/2006,522.2,SA,Automotive and Engineering Trades Workers
33,3,01/04/2006,178.46,SA,Construction Trades Workers
34,3,01/04/2006,178.14,SA,Electrotechnology and Telecommunications Trades Workers
35,3,01/04/2006,400.47,SA,Food Trades Workers
36,3,01/04/2006,80.44,SA,Skilled Animal and Horticultural Workers
3A,3,01/04/2006,182.62,SA,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/04/2006,73.91,SA,"Jewellers, Arts and Other Trades Workers"
4,2,01/04/2006,1096.35,SA,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/04/2006,85.49,SA,Health and Welfare Support Workers
42,3,01/04/2006,332.81,SA,Carers and Aides
43,3,01/04/2006,468.31,SA,Hospitality Workers
44,3,01/04/2006,103.46,SA,Protective Service Workers
45,3,01/04/2006,117.38,SA,"Sports, Travel and Personal Service Workers"
5,2,01/04/2006,2158.49,SA,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/04/2006,385.22,SA,Numerical Clerks
56,3,01/04/2006,69.24,SA,Clerical and Office Support Workers
59,3,01/04/2006,211.05,SA,Other Clerical and Administrative Workers
5A,3,01/04/2006,264.01,SA,"Office Managers, Administrators and Secretaries"
5B,3,01/04/2006,1220.78,SA,"General-Inquiry Clerks, Call Centre Workers, and Receptionists"
6,2,01/04/2006,1517.2,SA,SALES WORKERS
61,3,01/04/2006,338.52,SA,Sales Representatives and Agents
62,3,01/04/2006,1010.38,SA,Sales Assistants and Salespersons
63,3,01/04/2006,165.33,SA,Sales Support Workers
7,2,01/04/2006,978.43,SA,MACHINERY OPERATORS AND DRIVERS
71,3,01/04/2006,232.72,SA,Machine and Stationary Plant Operators
72,3,01/04/2006,173.7,SA,Mobile Plant Operators
7A,3,01/04/2006,587.34,SA,Drivers and Storepersons
8,2,01/04/2006,2564.22,SA,LABOURERS
81,3,01/04/2006,423.27,SA,Cleaners and Laundry Workers
82,3,01/04/2006,140.22,SA,Construction and Mining Labourers
83,3,01/04/2006,467.02,SA,Factory Process Workers
84,3,01/04/2006,265.73,SA,"Farm, Forestry and Garden Workers"
85,3,01/04/2006,229.56,SA,Food Preparation Assistants
89,3,01/04/2006,1037.75,SA,Other Labourers
0,1,01/04/2006,19833.43,WA,WA TOTAL
1,2,01/04/2006,1616.5,WA,MANAGERS
11,3,01/04/2006,34.88,WA,"Chief Executives, Managing Directors & Legislators"
12,3,01/04/2006,10.65,WA,Farmers and Farm Managers
14,3,01/04/2006,368.14,WA,"Hospitality, Retail and Service Managers"
1A,3,01/04/2006,562,WA,Corporate Managers
1B,3,01/04/2006,550.26,WA,"Construction, Production and Distribution Managers"
1C,3,01/04/2006,84.03,WA,"Health, Education, ICT and Other Managers"
2,2,01/04/2006,4542.24,WA,PROFESSIONALS
21,3,01/04/2006,86.21,WA,Arts and Media Professionals
24,3,01/04/2006,76.81,WA,Education Professionals
26,3,01/04/2006,720.02,WA,ICT Professionals
27,3,01/04/2006,238.81,WA,"Legal, Social and Welfare Professionals"
2A,3,01/04/2006,1233.2,WA,"Business, Finance and Human Resource Professionals"
2B,3,01/04/2006,91.45,WA,Information Professionals
2C,3,01/04/2006,143.05,WA,"Sales, Marketing & Public Relations Professionals"
2D,3,01/04/2006,168.77,WA,"Transport and Design Professionals, and Architects"
2E,3,01/04/2006,1193.82,WA,Engineers
2F,3,01/04/2006,264.57,WA,Science Professionals and Veterinarians
2G,3,01/04/2006,154.61,WA,Health Diagnostic and Therapy Professionals
2H,3,01/04/2006,155.81,WA,Medical Practitioners and Nurses
3,2,01/04/2006,2490.99,WA,TECHNICIANS AND TRADES WORKERS
31,3,01/04/2006,772.61,WA,"Engineering, ICT and Science Technicians"
32,3,01/04/2006,771.84,WA,Automotive and Engineering Trades Workers
33,3,01/04/2006,175.38,WA,Construction Trades Workers
34,3,01/04/2006,263.04,WA,Electrotechnology and Telecommunications Trades Workers
35,3,01/04/2006,294.99,WA,Food Trades Workers
36,3,01/04/2006,82.71,WA,Skilled Animal and Horticultural Workers
3A,3,01/04/2006,81.64,WA,"Hairdressers, Printing, Clothing and Wood Trades Workers"
3B,3,01/04/2006,59.51,WA,"Jewellers, Arts and Other Trades Workers"
4,2,01/04/2006,874.94,WA,COMMUNITY AND PERSONAL SERVICE WORKERS
41,3,01/04/2006,36.01,WA,Health and Welfare Support Workers
42,3,01/04/2006,184.77,WA,Carers and Aides
43,3,01/04/2006,432.66,WA,Hospitality Workers
44,3,01/04/2006,89.91,WA,Protective Service Workers
45,3,01/04/2006,146.85,WA,"Sports, Travel and Personal Service Workers"
5,2,01/04/2006,3907.09,WA,CLERICAL AND ADMINISTRATIVE WORKERS
55,3,01/04/2006,1030.14,WA,Numerical Clerks
56,3,01/04/2006,94.78,WA,Clerical and Office Support Workers
59,3,01/04/2006,379.78,WA,Other Clerical and Administrative Workers
